bloque,semana_inicio,etapa,tipo,titulo,autor_creador,link,descripcion,gratis_o_pago
A,1,embarazo,articulo,Semana 1 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week1.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 1 de gestación.,gratis
A,1,embarazo,video,Primer trimestre: todo lo que necesitas saber (para mamás primerizas),Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=rrG4B4KURbg,"Resumen de lo esperable en las primeras semanas de embarazo, ideal para quienes acaban de confirmar el positivo.",gratis
A,1,embarazo,frase,Un test positivo es solo el comienzo de una historia que vas a ir escribiendo semana a semana.,Anónimo,,Frase de acompañamiento para la semana 1 de embarazo.,gratis
A,2,embarazo,articulo,Semana 2 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week2.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 2 de gestación.,gratis
A,2,embarazo,video,Primer trimestre: todo lo que necesitas saber (para mamás primerizas),Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=rrG4B4KURbg,"Resumen de lo esperable en las primeras semanas de embarazo, ideal para quienes acaban de confirmar el positivo.",gratis
A,2,embarazo,frase,Un test positivo es solo el comienzo de una historia que vas a ir escribiendo semana a semana.,Anónimo,,Frase de acompañamiento para la semana 2 de embarazo.,gratis
A,3,embarazo,articulo,Semana 3 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week3.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 3 de gestación.,gratis
A,3,embarazo,video,Primer trimestre: todo lo que necesitas saber (para mamás primerizas),Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=rrG4B4KURbg,"Resumen de lo esperable en las primeras semanas de embarazo, ideal para quienes acaban de confirmar el positivo.",gratis
A,3,embarazo,frase,Un test positivo es solo el comienzo de una historia que vas a ir escribiendo semana a semana.,Anónimo,,Frase de acompañamiento para la semana 3 de embarazo.,gratis
A,4,embarazo,articulo,Semana 4 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week4.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 4 de gestación.,gratis
A,4,embarazo,video,Primer trimestre: todo lo que necesitas saber (para mamás primerizas),Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=rrG4B4KURbg,"Resumen de lo esperable en las primeras semanas de embarazo, ideal para quienes acaban de confirmar el positivo.",gratis
A,4,embarazo,frase,Un test positivo es solo el comienzo de una historia que vas a ir escribiendo semana a semana.,Anónimo,,Frase de acompañamiento para la semana 4 de embarazo.,gratis
A,5,embarazo,articulo,Semana 5 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week5.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 5 de gestación.,gratis
A,5,embarazo,video,Náuseas en el embarazo: 5 trucos para eliminarlas,Maternar.co,https://www.youtube.com/watch?v=SoOUatKJTfQ,Consejos prácticos para aliviar las náuseas típicas del primer trimestre.,gratis
A,5,embarazo,frase,"Las náuseas son incómodas, pero también son una señal de que tu embarazo avanza.",Anónimo,,Frase de acompañamiento para la semana 5 de embarazo.,gratis
