bloque,categoria,tipo,titulo,autor_creador,link,descripcion,gratis_o_pago
B,tipos_de_parto,plantilla,Plan de Parto y Nacimiento,Ministerio de Sanidad de España,https://www.sanidad.gob.es/organizacion/sns/planCalidadSNS/pdf/equidad/planPartoNacimiento.pdf,Formulario oficial para registrar tus preferencias sobre el parto y el nacimiento antes de llegar al hospital.,gratis
B,tipos_de_parto,guia,Guía OMS de cuidados durante el trabajo de parto: manual del usuario,Organización Mundial de la Salud (OMS),https://iris.who.int/server/api/core/bitstreams/7f978b53-99c0-42ca-9b8e-c0adb24132a8/content,Recomendaciones basadas en evidencia sobre los distintos tipos de atención durante el trabajo de parto.,gratis
B,tipos_de_parto,guia,Guía de Práctica Clínica sobre la Atención al Parto Normal (versión resumida),Ministerio de Sanidad de España,https://www.sanidad.gob.es/fr/organizacion/sns/planCalidadSNS/pdf/equidad/guiaPracticaClinicaParto.pdf,Resumen de recomendaciones clínicas oficiales sobre el manejo del parto normal.,gratis
B,tipos_de_parto,video,Tipos de parto,"Georgina Martínez Vidal, obstetra",https://www.youtube.com/watch?v=VDv3IzPy2uQ,"Una obstetra explica en pocos minutos las diferencias entre parto vaginal, cesárea e instrumental.",gratis
B,tipos_de_parto,video,Parto: entendiendo su proceso natural,"Clínica Alemana - Dra. Bernardita Walker, ginecóloga",https://www.youtube.com/watch?v=SMyGUFZRr2Q,Entrevista donde una ginecóloga explica el proceso fisiológico del parto natural.,gratis
B,tipos_de_parto,libro,"Ser mamá. Guía de embarazo, parto y posparto con evidencia y emoción","Nazareth Olivera Belart, matrona e IBCLC",https://www.penguinlibros.com/us/196977-nazareth-olivera-belart,Guía con base científica y enfoque respetuoso que repasa todas las opciones de parto sin sesgos.,pago
B,tipos_de_parto,podcast,Tu Mejor Parto - Parto Vaginal Después de Cesárea (PVDC),myBabymyBirth®,https://www.mybabymybirth.com/podcast/72.-parto-vaginal-despu%C3%A9s-de-ces%C3%A1rea-(pvdc),Episodio con profesionales de la salud sobre el parto vaginal después de una cesárea.,gratis
B,tipos_de_parto,articulo,El parto instrumental,El Parto es Nuestro,https://www.elpartoesnuestro.es/informacion/parto/intervenciones-medicas/el-parto-instrumental,"Explica con claridad cuándo y cómo se usan fórceps, ventosa o espátulas durante el parto.",gratis
B,tipos_de_parto,frase,Cada parto es único: no hay una sola forma correcta de traer una vida al mundo.,Anónimo,,Frase para recordar que todas las formas de parir son válidas.,gratis
B,tipos_de_parto,frase,"Tu cuerpo sabe cómo hacerlo, y si necesita ayuda, eso también es parte del proceso.",Anónimo,,Frase de aliento sobre confiar en el cuerpo y aceptar la ayuda médica cuando hace falta.,gratis
B,tipos_de_parto,frase,Naciste para dar a luz de la manera que tu bebé y vos necesiten.,Anónimo,,Frase que valida distintos tipos de parto sin juicio.,gratis
B,preparacion_parto,articulo,¿Cómo es la preparación al parto? Teoría y práctica,Reproducción Asistida ORG,https://www.reproduccionasistida.org/preparacion-parto/,Explica en qué consisten las clases de preparación al parto y cuándo conviene comenzarlas.,gratis
B,preparacion_parto,guia,Clases prenatales,Kaiser Permanente en español,https://espanol.kaiserpermanente.org/es/health-wellness/healtharticle.prenatal-classes,Qué esperar de las clases prenatales y cómo elegir la más adecuada para vos.,gratis
B,preparacion_parto,video,Cómo respirar el día del parto,Actualidad Matrona,https://www.youtube.com/watch?v=ry_kweOxcO4,Una matrona responde preguntas frecuentes sobre cómo respirar durante el parto.,gratis
B,preparacion_parto,video,Técnicas de respiración para un parto más fácil,Canal especializado en preparación al parto,https://www.youtube.com/watch?v=9HmrTywffm4,Recorrido por las técnicas de respiración recomendadas en cada etapa del parto.,gratis
